Headline,Ground_Truth,Zero-shot_Prediction
cnn anchor blames french muslims for failure to prevent attacks,Non-Sarcastic,Non-Sarcastic
americans demand military response after chinese shoot down directv satellite,Sarcastic,Sarcastic
one man's journey into modern shamanism,Non-Sarcastic,Non-Sarcastic
mit scientists perfect $30 million love tester,Sarcastic,Sarcastic
top gop strategist who bashed donald trump will now try to get him elected,Non-Sarcastic,Non-Sarcastic
"women in business q&a: nawal motawi, motawi teleworks",Non-Sarcastic,Non-Sarcastic
nearly 1 in 10 children not enrolled in school: un,Non-Sarcastic,Non-Sarcastic
is it ok to be rich?,Non-Sarcastic,Non-Sarcastic
silence your thoughts with this simple technique,Non-Sarcastic,Non-Sarcastic
"ice cube is co-writing, starring in a genre-crossing 'oliver twist' musical",Non-Sarcastic,Non-Sarcastic
"going against the flow: diana paredes, ceo of suade",Non-Sarcastic,Non-Sarcastic
new study finds blacks more likely,Sarcastic,Non-Sarcastic
"obama: 'hillary will fight to protect my legacy, even the truly detestable parts'",Sarcastic,Sarcastic
my disastrous search for the perfect swimsuit,Non-Sarcastic,Non-Sarcastic
3 attacks in 3 months put spotlight on terrorism in the u.k.,Non-Sarcastic,Non-Sarcastic
clinton names agriculture secretary: previously unnamed man to be called joseph p. ruckeyser,Sarcastic,Sarcastic
vladimir putin suggests american hackers framed russia,Non-Sarcastic,Non-Sarcastic
clinton already working on follow-up book casting blame for failures of first,Sarcastic,Sarcastic
knife condemned to week inside saran-wrapped brownie pan,Sarcastic,Sarcastic
establishment-backed moderate wins heated democratic house primary in texas,Non-Sarcastic,Non-Sarcastic
model to give acting a shot,Sarcastic,Sarcastic
the quiet practice where i found my voice,Non-Sarcastic,Non-Sarcastic
khloe kardashian joins 'waist gang',Non-Sarcastic,Non-Sarcastic
apocalypto star wants to show he can do mayan comedy,Sarcastic,Sarcastic
ciro guerra's 'embrace of the serpent' at cannes: a conversation with the colombian director about shamanism,Non-Sarcastic,Non-Sarcastic
sick dog who was to be euthanized gets diagnosed just in time,Non-Sarcastic,Non-Sarcastic
lin-manuel miranda disses donald trump in 'my shot' remix on 'snl',Non-Sarcastic,Non-Sarcastic
elderly man hailed as alert,Sarcastic,Sarcastic
kate mara's angelic emmy dress nails it,Non-Sarcastic,Non-Sarcastic
new study finds being on cover of 'people' magazine best predictor of revealing all,Sarcastic,Sarcastic
government data sharpens focus on crude-oil train routes,Non-Sarcastic,Non-Sarcastic
gore mauled by aquatic mammal,Sarcastic,Sarcastic
7 trends that offer a snapshot of american religion today,Non-Sarcastic,Non-Sarcastic
trump to nominate nfl team owner as ambassador to britain,Non-Sarcastic,Non-Sarcastic
mcdonald's now offering bereavement prices,Sarcastic,Sarcastic
parenting: the ultimate juggling act,Non-Sarcastic,Non-Sarcastic
post-modern condition upgraded to pre-apocalyptic,Sarcastic,Sarcastic
watch vin diesel say 'i am groot' in different languages,Non-Sarcastic,Non-Sarcastic
crowd shocked after unhinged trump dangles baby from truman balcony,Sarcastic,Sarcastic
a frequent flighter's tips for drinking wine responsibly,Non-Sarcastic,Non-Sarcastic
"americans expect government officials to issue marriage licenses to same-sex couples, poll shows",Non-Sarcastic,Non-Sarcastic
"justice dept. mandates 'implicit bias' training for agents, lawyers",Non-Sarcastic,Non-Sarcastic
black voter turnout so far is not good for hillary clinton,Non-Sarcastic,Non-Sarcastic
trump uses major policy speech to threaten to sue sexual assault accusers,Non-Sarcastic,Non-Sarcastic
did president trump really say he may have taped director comey?,Non-Sarcastic,Non-Sarcastic
clinton becomes first president to clear 18 feet in pole vault,Sarcastic,Sarcastic
biden now a purple belt,Sarcastic,Sarcastic
exciting new app allows users to be pawns in 26-year-old ceo's little game,Sarcastic,Sarcastic
"news roundup for august 23, 2017",Non-Sarcastic,Non-Sarcastic
6 reasons amber riley is a curvy style icon,Non-Sarcastic,Non-Sarcastic
mother's little angel just made fun of classmate's weight for 30 straight minutes,Sarcastic,Sarcastic
mourners unable to comprehend last 20 minutes of kubrick's life,Sarcastic,Sarcastic
bill maher thanks donald trump for exposing 'hypocritical' evangelicals,Non-Sarcastic,Non-Sarcastic
brotherly advice,Non-Sarcastic,Non-Sarcastic
actors who have dated multiple costars,Non-Sarcastic,Non-Sarcastic
philip morris lawyers deny cigarettes are cylindrical,Sarcastic,Sarcastic
university admits chocolate milk doesn't alleviate effects of concussions,Non-Sarcastic,Non-Sarcastic
finding the answer that's been there all along: how to discover the direction with wings,Non-Sarcastic,Non-Sarcastic
opening band upstaged by pre-show music,Sarcastic,Sarcastic
'better homes & gardens' puts first plus-sized succulent on september cover,Sarcastic,Sarcastic
mike pence disappointed god has never asked him to kill one of own children,Sarcastic,Sarcastic
republicans address income inequality by offering middle class hot stock tip,Sarcastic,Sarcastic
"romney requiring potential running mates to write 5,000 word essay on favorite things about money",Sarcastic,Sarcastic
"crunch 'n' munch increases crunchiness, munchability",Sarcastic,Sarcastic
"egg lobbyists targeted bloggers, media to fight vegan startup",Non-Sarcastic,Non-Sarcastic
white house probes kushner business loans after ethics questions,Non-Sarcastic,Non-Sarcastic
sean spicer just so happens to be asleep during melissa mccarthy's 'saturday night live' sketches,Non-Sarcastic,Sarcastic
'walking dead' actor daniel newman comes out on youtube,Non-Sarcastic,Non-Sarcastic
diabetes and my personal experience with obtaining health care coverage through obamacare,Non-Sarcastic,Non-Sarcastic
tsa agents to now simply stand at checkpoints and remind passengers that we all die someday,Sarcastic,Sarcastic
two trans women from the bronx open up about their lives and communities,Non-Sarcastic,Non-Sarcastic
"russian interference had no impact on election, reports website created 8 minutes ago",Sarcastic,Sarcastic
acid trip better planned than vacation,Sarcastic,Sarcastic
eighty percent of al-qaeda no. 2s now dead,Sarcastic,Sarcastic
berkeley campus on lockdown after loose pages from 'wall street journal' found on park bench,Sarcastic,Sarcastic
"misery may love company, but your company should not love misery",Non-Sarcastic,Non-Sarcastic
donald trump was losing this election anyway,Non-Sarcastic,Non-Sarcastic
factory robot working on some of its own designs after hours,Sarcastic,Sarcastic
sen. richard burr: the cloak and dagger senator,Non-Sarcastic,Non-Sarcastic
"next supreme court term will be 'more important than any in the last 50 years,' court watcher says",Non-Sarcastic,Non-Sarcastic
mitch mcconnell reminds senators that they'll have to make up government shutdown days at end of year,Sarcastic,Sarcastic
why we're lucky if we get to be old,Non-Sarcastic,Non-Sarcastic
hillary clinton's barking dog impression is totally paw-some,Non-Sarcastic,Non-Sarcastic
latina business owner faces death threats for appearing onstage at donald trump rally,Non-Sarcastic,Non-Sarcastic
the 9/11 flag from ground zero is missing,Non-Sarcastic,Non-Sarcastic
"detroit begs nation to just give it something, anything, to manufacture",Sarcastic,Sarcastic
dascha polanco opens up about what makes her insecure,Non-Sarcastic,Non-Sarcastic
family loses third son to the heroin epidemic,Non-Sarcastic,Non-Sarcastic
woman enters miss universe malaysia after finding beauty in her head-to-toe moles,Non-Sarcastic,Non-Sarcastic
too big to eat,Non-Sarcastic,Sarcastic
secret deodorant debuts groundbreaking transgender ad,Non-Sarcastic,Non-Sarcastic
new 10-10-911 saves emergency victims up to 30 percent,Sarcastic,Sarcastic
only benedict cumberbatch can crack the case in jimmy fallon's mad lib theater,Non-Sarcastic,Non-Sarcastic
revisit your favorite junkie pals in the 'trainspotting 2' trailer,Non-Sarcastic,Non-Sarcastic
man in mickey mouse suit obviously attempted to eat ribs,Sarcastic,Sarcastic
where's the ref? fifa -- a sports body playing without rules,Non-Sarcastic,Non-Sarcastic
donald trump & vaccines: is he ready to be responsible for a children's epidemic?,Non-Sarcastic,Non-Sarcastic
gop voters want an outsider. can marco rubio convince them he is one?,Non-Sarcastic,Non-Sarcastic
'game of thrones' star reveals tormund's love for brienne extends off screen,Non-Sarcastic,Non-Sarcastic
man gets all the way to hospital just to find out wife will be fine,Sarcastic,Sarcastic
microsoft: russian hackers exploiting windows flaw,Non-Sarcastic,Non-Sarcastic
american muslims are fearful but resilient about their place in trump's america,Non-Sarcastic,Non-Sarcastic
man wistfully looks around website he hasn't visited for 30 minutes,Sarcastic,Sarcastic
"great, daughter measuring self-worth against some 13-year-old named skyla now",Sarcastic,Sarcastic
history is made as rams officially sign michael sam to 4-year multi-million dollar contract,Non-Sarcastic,Non-Sarcastic
year abroad changes student's worldview for one year,Sarcastic,Sarcastic
man at salad bar has to say every item aloud as he adds it to salad,Sarcastic,Sarcastic
"florida man head-butts a bus, knocks himself out",Non-Sarcastic,Non-Sarcastic
"johnny depp now physically unable to walk unless whimsically teeter-tottering across rolling log, wobbly plank, or swaying beam",Sarcastic,Sarcastic
video highlights the kind of breastfeeding shaming we don't really talk about,Non-Sarcastic,Non-Sarcastic
actor matthew mcconaughey agrees to star in whatever,Sarcastic,Sarcastic
abby sunderland - concocted history's most extreme plan to get out of a summer job,Sarcastic,Sarcastic
nra says mass shootings just the unfortunate price of protecting people's freedom to commit mass shootings,Sarcastic,Sarcastic
"new countries, who's first?",Non-Sarcastic,Sarcastic
woman shuts down dude who demanded $5 back for coffee date,Non-Sarcastic,Non-Sarcastic
tomm lasorda to enjoy sensible dinner,Sarcastic,Sarcastic
strong earthquake hits western argentina,Non-Sarcastic,Non-Sarcastic
astronomers discover most distant galaxy yet,Non-Sarcastic,Non-Sarcastic
3 proven ways for female entrepreneurs to turn a good idea into a good income,Non-Sarcastic,Non-Sarcastic
amish woman knew she had quilt sale the moment she laid eyes on chicago couple,Sarcastic,Sarcastic
baby doesn't realize it's a white supremacist yet,Sarcastic,Sarcastic
lawyers separate mary-kate & ashley olsen in 17-hour procedure,Sarcastic,Sarcastic
'the onion' guarantees all who watch new amazon series shall be spared,Sarcastic,Sarcastic
report: 32% of prayers deflected off passing satellites,Sarcastic,Sarcastic
"shit, guy in front of you ordering for entire construction crew",Sarcastic,Sarcastic
peaceful protest interrupted by swarm of aggressive black-clad militants,Sarcastic,Non-Sarcastic
man unable to wear nice clothes without everyone asking questions,Sarcastic,Sarcastic
the 2016 'dumbing down' of america,Non-Sarcastic,Non-Sarcastic
antifa organizers announce plans to disrupt neo-nazi rally or whatever else going on that day,Sarcastic,Sarcastic
8 life lessons you can learn from bruce springsteen,Non-Sarcastic,Non-Sarcastic
local tcby has missed past 2 logo changes,Sarcastic,Sarcastic
banners at old dominion university declare students' house a 'freshman daughter drop off' site,Non-Sarcastic,Non-Sarcastic
stephen colbert is just as worried about the new citizenship law as fox news,Non-Sarcastic,Non-Sarcastic
aircraft laser strikes soar to all-time high,Non-Sarcastic,Non-Sarcastic
how to grill vegetables,Non-Sarcastic,Non-Sarcastic
dad delivers state of the union rebuttal directly into television screen,Sarcastic,Sarcastic
"mute, terrified rubio awakes to find self unable to vocalize any unscripted sentiment",Sarcastic,Sarcastic
nra visits colorado police evidence room to check up on rifle used in planned parenthood shooting,Sarcastic,Sarcastic
missing children's day: let's bring them all home,Non-Sarcastic,Non-Sarcastic
cameron esposito made yuletide a little gayer with nativity scene photo,Non-Sarcastic,Non-Sarcastic
"according to nutritional information, local man just had 16 servings of fritos",Sarcastic,Sarcastic
"this fall's can't-miss, most noteworthy memoirs",Non-Sarcastic,Non-Sarcastic
the enigmatic art of josef koudelka,Non-Sarcastic,Non-Sarcastic
area woman fulfills dream of becoming writer by getting job at bookstore,Sarcastic,Sarcastic
new employee doesn't understand that's where zack sits,Sarcastic,Sarcastic
these brave souls decided to taste pregnant women's bizarre cravings,Non-Sarcastic,Non-Sarcastic
netflix executive unsure how to tell barack obama his series idea just 'fawlty towers',Sarcastic,Sarcastic
middle east crisis traced to trouble-making genie,Sarcastic,Sarcastic
greyhound now offering direct service from kansas to l.a. porn director's driveway,Sarcastic,Sarcastic
looking for happiness in all the wrong places,Non-Sarcastic,Non-Sarcastic
united nations panel assails trump's refusal to explicitly condemn neo-nazis,Non-Sarcastic,Non-Sarcastic
springer audience now just chanting 'kill! kill!',Sarcastic,Sarcastic
"aaron eckhart likes to make one frankenstein movie for them, one frankenstein movie for himself",Sarcastic,Sarcastic
refugee blues,Non-Sarcastic,Non-Sarcastic
"mom's bathing suit just one giant, body-eclipsing ruffle",Sarcastic,Sarcastic
john kerry breaks leg in bike crash,Non-Sarcastic,Non-Sarcastic
